Potential [ V],di [µA/]
-0.652149975,223.2349943
-0.65170002,223.1069957
-0.651250005,223.0789978
-0.65079999,223.1319959
-0.650349975,223.2410043
-0.649900019,223.362993
-0.649450004,223.3450068
-0.648999989,223.1529943
-0.648549974,222.7710065
-0.648100019,222.3210031
-0.647650003,221.9400048
-0.647199988,221.645998
-0.646749973,221.6559951
-0.646300018,221.9150047
-0.645850003,222.2079929
-0.645399988,222.5780045
-0.644949973,222.8899975
-0.644500017,222.9920065
-0.644050002,223.0109967
-0.643599987,223.0209939
-0.643149972,222.8469966
-0.642700016,222.7020013
-0.642250001,222.4920026
-0.641799986,222.2540061
-0.641349971,222.1089962
-0.640900016,222.1040049
-0.640450001,222.1629984
-0.639999986,222.4490017
-0.639549971,222.8469966
-0.639100015,223.1669932
-0.63865,223.4239946
-0.638199985,223.4359999
-0.63775003,223.2359984
-0.637300014,222.8049998
-0.636849999,222.2689945
-0.636399984,221.7209985
-0.635950029,221.2429972
-0.635500014,220.914997
-0.635049999,220.6479985
-0.634599984,220.4670018
-0.634150028,220.16
-0.633700013,220.0140007
-0.633249998,219.708003
-0.632799983,219.3370019
-0.632350028,219.005
-0.631900012,218.8920043
-0.631449997,218.7909995
-0.630999982,218.8189974
-0.630550027,219.1660024
-0.630100012,219.5029956
-0.629649997,219.6599962
-0.629199982,219.5559937
-0.628750026,219.3840046
-0.628300011,218.9289953
-0.627849996,218.4399928
-0.627399981,218.0129959
-0.626950026,217.7449933
-0.62650001,217.4999972
-0.626049995,217.252993
-0.62559998,216.9380023
-0.625150025,216.5829937
-0.62470001,216.1449956
-0.624249995,215.6480041
-0.62379998,215.1560038
-0.623350024,214.7019986
-0.622900009,214.3720048
-0.622449994,214.0860015
-0.621999979,213.7669944
-0.621550024,213.545005
-0.621100008,213.3109956
-0.620649993,212.9829954
-0.620199978,212.8019987
-0.619750023,212.8820051
-0.619300008,212.9729983
-0.618849993,213.2200025
-0.618399978,213.4609967
-0.617950022,213.509993
-0.617500007,213.1910005
-0.617049992,212.7640037
-0.616599977,212.1019934
-0.616150022,211.3579976
-0.615700006,210.6809989
-0.615249991,210.2800063
-0.614799976,209.9559933
-0.614350021,209.7539982
-0.613900006,209.7240067
-0.613449991,209.5530072
-0.612999976,209.217993
-0.61255002,208.8009933
-0.612100005,208.2540013
-0.61164999,207.4829972
-0.611199975,206.8350004
-0.61075002,206.140001
-0.610300004,205.3799981
-0.609849989,204.6799927
-0.609399974,204.0209947
-0.608950019,203.2159973
-0.608500004,202.4080022
-0.608049989,201.6009967
-0.607599974,200.762006
-0.607150018,199.948001
-0.606700003,199.2970065
-0.606249988,198.7090072
-0.605799973,198.2700051
-0.605350018,197.8509972
-0.604900002,197.4610059
-0.604449987,197.0580051
-0.603999972,196.781999
-0.603550017,196.4139956
-0.603100002,196.1399976
-0.602649987,196.0630034
-0.602199972,195.9509973
-0.601750016,195.6269989
-0.601300001,195.2780003
-0.600849986,194.8069985
-0.600399971,194.0119982
-0.599950016,193.1510051
-0.5995,192.4009994
-0.599049985,191.7229965
-0.59859997,191.1629952
-0.598150015,190.7739934
-0.5977,190.4480014
-0.597249985,190.050996
-0.596800029,189.6549948
-0.596350014,189.2160071
-0.595899999,188.6990067
-0.595449984,188.2100041
-0.595000029,187.7739996
-0.594550014,187.2639987
-0.594099998,186.573001
-0.593649983,185.9530021
-0.593200028,185.2919959
-0.592750013,184.6469968
-0.592299998,184.0320037
-0.591849983,183.5900039
-0.591400027,183.0469992
-0.590950012,182.4359933
-0.590499997,181.727999
-0.590049982,180.995994
-0.589600027,180.1900071
-0.589150012,179.4669952
-0.588699996,178.7859946
-0.588249981,178.051996
-0.587800026,177.149006
-0.587350011,176.2129978
-0.586899996,175.2069948
-0.586449981,174.0959997
-0.586000025,173.0119984
-0.58555001,172.1269946
-0.585099995,171.341002
-0.58464998,170.476007
-0.584200025,169.7599946
-0.58375001,169.1679936
-0.583299994,168.6210016
-0.582849979,167.8900007
-0.582400024,167.3009974
-0.581950009,166.7000033
-0.581499994,166.0419948
-0.581049979,165.2460051
-0.580600023,164.608995
-0.580150008,164.0130067
-0.579699993,163.3630018
-0.579249978,162.6519952
-0.578800023,162.0060066
-0.578350008,161.3969944
-0.577899992,160.6059959
-0.577449977,159.8389936
-0.577000022,159.1720065
-0.576550007,158.4849961
-0.576099992,157.5969945
-0.575649977,156.7760046
-0.575200021,155.938993
-0.574750006,154.9909939
-0.574299991,154.0460071
-0.573849976,153.3239993
-0.573400021,152.6599954
-0.572950006,151.9439975
-0.57249999,151.3239986
-0.572049975,150.8230052
-0.57160002,150.3030071
-0.571150005,149.7170015
-0.57069999,149.2459996
-0.570249975,148.7200061
-0.569800019,148.0570063
-0.569350004,147.2440053
-0.568899989,146.477003
-0.568449974,145.6350001
-0.568000019,144.8319963
-0.567550004,143.9850021
-0.567099988,143.2120043
-0.566649973,142.4640068
-0.566200018,141.7979947
-0.565750003,141.1550038
-0.565299988,140.6439987
-0.564849973,140.2490016
-0.564400017,139.9570028
-0.563950002,139.5769941
-0.563499987,139.1669939
-0.563049972,138.7889934
-0.562600017,138.3670024
-0.562150002,137.7750013
-0.561699986,137.2359984
-0.561249971,136.7359946
-0.560800016,136.0930037
-0.560350001,135.3539992
-0.559899986,134.6380013
-0.559449971,133.9559967
-0.559000015,133.2539978
-0.55855,132.7210048
-0.558099985,132.2089956
-0.55765003,131.6450071
-0.557200015,131.0630032
-0.55675,130.4220059
-0.556299984,129.602995
-0.555850029,128.7839987
-0.555400014,128.1209989
-0.554949999,127.4889946
-0.554499984,126.8839987
-0.554050028,126.3479935
-0.553600013,125.9099954
-0.553149998,125.4280069
-0.552699983,124.897997
-0.552250028,124.4250016
-0.551800013,124.061
-0.551349998,123.6300013
-0.550899982,123.1729984
-0.550450027,122.6299937
-0.550000012,122.0600025
-0.549549997,121.4239965
-0.549099982,120.8340036
-0.548650026,120.2569983
-0.548200011,119.8469981
-0.547749996,119.4779979
-0.547299981,119.1470001
-0.546850026,118.8570022
-0.546400011,118.557
-0.545949996,118.254
-0.54549998,117.9750034
-0.545050025,117.6229998
-0.54460001,117.1589975
-0.544149995,116.7149967
-0.54369998,116.2479966
-0.543250024,115.734998
-0.542800009,115.3400008
-0.542349994,115.0559983
-0.541899979,114.8189986
-0.541450024,114.5869974
-0.541000009,114.3830013
-0.540549994,114.1059984
-0.540099978,113.7130021
-0.539650023,113.3530022
-0.539200008,113.023998
-0.538749993,112.6970019
-0.538299978,112.4370028
-0.537850022,112.3179973
-0.537400007,112.1070018
-0.536949992,111.8439977
-0.536499977,111.5949999
-0.536050022,111.2769969
-0.535600007,110.9160003
-0.535149992,110.5560004
-0.534699976,110.2059978
-0.534250021,109.8049979
-0.533800006,109.4010004
-0.533349991,108.9579964
-0.532899976,108.6210032
-0.53245002,108.2509989
-0.532000005,107.9170033
-0.53154999,107.6330009
-0.531099975,107.382999
-0.53065002,107.0080034
-0.530200005,106.6769983
-0.52974999,106.3210002
-0.529299974,105.9190035
-0.528850019,105.5300017
-0.528400004,105.2290027
-0.527949989,104.8580016
-0.527499974,104.4899982
-0.527050018,104.1990035
-0.526600003,103.8769988
-0.526149988,103.614002
-0.525699973,103.5140012
-0.525250018,103.4119996
-0.524800003,103.2229993
-0.524349988,103.0330022
-0.523899972,102.6879982
-0.523450017,102.279002
-0.523000002,101.9129995
-0.522549987,101.6329988
-0.522099972,101.3810033
-0.521650016,101.1950008
-0.521200001,101.0109991
-0.520749986,100.7870014
-0.520299971,100.4799997
-0.519850016,100.1810015
-0.519400001,99.88700185
-0.518949986,99.55759742
-0.51849997,99.38339645
-0.518050015,99.24409824
-0.5176,99.05389743
-0.517149985,98.90359797
-0.516700029,98.80730067
-0.516250014,98.5355
-0.515799999,98.18460239
-0.515349984,97.81029803
-0.514900029,97.37050277
